Name,Popularity,Followers,Genres,Average_top_song_length_in_min,Spotify_ID,Spotify_URL
Quevedo,86,6299031,[],3.38,52iwsT98xCoGgiGntTiR7K,https://open.spotify.com/artist/52iwsT98xCoGgiGntTiR7K
Q-Tip,62,621590,['east coast hip hop'],4.04,3ZotbHeyVQKxQCPDJuQ4SU,https://open.spotify.com/artist/3ZotbHeyVQKxQCPDJuQ4SU
Quavo,80,8000983,[],3.44,0VRj0yCOv2FXJNP47XQnx5,https://open.spotify.com/artist/0VRj0yCOv2FXJNP47XQnx5
Quantic,63,388551,"['nu jazz', 'trip hop', 'downtempo', 'electrocumbia', 'latin alternative', 'acid jazz']",4.02,5ZMwoAjeDtLJ0XRwRTgaK8,https://open.spotify.com/artist/5ZMwoAjeDtLJ0XRwRTgaK8
Qlas & Blacka,48,57512,[],3.21,0ltU5V1lbLkZlgXrnCeGjx,https://open.spotify.com/artist/0ltU5V1lbLkZlgXrnCeGjx
Quarterhead,59,24889,[],2.45,2h6hAChW74hB9HvrNoK1RY,https://open.spotify.com/artist/2h6hAChW74hB9HvrNoK1RY
Quintino,55,613180,"['big room', 'edm']",2.76,1V3VTM7VspiQjcmRhC010n,https://open.spotify.com/artist/1V3VTM7VspiQjcmRhC010n
Queen Pen,63,63355,['new jack swing'],3.94,0VbIlorLz3I5SEtIsc5vAr,https://open.spotify.com/artist/0VbIlorLz3I5SEtIsc5vAr
Quality Control,68,1588918,[],3.06,6i392l38cR3uBPF0DbNs7S,https://open.spotify.com/artist/6i392l38cR3uBPF0DbNs7S
Rijck,55,4166,[],2.76,0TzY5bHHF5sZsm1XV5UCzZ,https://open.spotify.com/artist/0TzY5bHHF5sZsm1XV5UCzZ
Ren,70,1601274,[],4.19,0Repe2EiNjaFAFIukrroUM,https://open.spotify.com/artist/0Repe2EiNjaFAFIukrroUM
Radiohead,89,13471582,"['art rock', 'alternative rock']",4.4,4Z8W4fKeB5YxbusRsdQVPb,https://open.spotify.com/artist/4Z8W4fKeB5YxbusRsdQVPb
RAYE,81,2609087,[],3.55,5KKpBU5eC2tJDzf0wmlRp2,https://open.spotify.com/artist/5KKpBU5eC2tJDzf0wmlRp2
Royel Otis,78,548269,['indie'],3.07,5b5bt4mZQpJMoCRbiQ7diH,https://open.spotify.com/artist/5b5bt4mZQpJMoCRbiQ7diH
Roxy Dekker,66,339462,"['nederpop', 'hollands']",2.5,6YznhKZUZFVr418x7OUi3z,https://open.spotify.com/artist/6YznhKZUZFVr418x7OUi3z
Rits,48,6232,[],2.81,0zjY4NHr3mdGq8Mn8btl3O,https://open.spotify.com/artist/0zjY4NHr3mdGq8Mn8btl3O
Rauw Alejandro,91,30618611,"['reggaeton', 'urbano latino', 'trap latino', 'latin']",3.64,1mcTU81TzQhprhouKaTkpq,https://open.spotify.com/artist/1mcTU81TzQhprhouKaTkpq
Rammstein,81,11688957,"['industrial metal', 'metal', 'industrial rock', 'industrial']",4.05,6wWVKhxIU2cEi0K81v7HvP,https://open.spotify.com/artist/6wWVKhxIU2cEi0K81v7HvP
Reneé Rapp,78,1208661,[],2.78,2hUYKu1x0UZQXvzCmggvSn,https://open.spotify.com/artist/2hUYKu1x0UZQXvzCmggvSn
Rowwen Hèze,50,61630,"['nederpop', 'hollands']",3.76,5icZHFQjI6SRsvXNOKUXZ1,https://open.spotify.com/artist/5icZHFQjI6SRsvXNOKUXZ1
RONDÉ,51,61990,['nederpop'],3.21,4hj9dun9KpnBukLv7Hgfkr,https://open.spotify.com/artist/4hj9dun9KpnBukLv7Hgfkr
Russo,63,47320,"['hollands', 'nederpop']",2.58,2rYWceJ64fH5hw2XkXR7ee,https://open.spotify.com/artist/2rYWceJ64fH5hw2XkXR7ee
Racoon,60,322676,"['nederpop', 'hollands']",3.45,30mNTnmvPn3HwXA5dW1Iza,https://open.spotify.com/artist/30mNTnmvPn3HwXA5dW1Iza
Rihanna,93,68311279,[],3.92,5pKCCKE2ajJHZ9KAiaK11H,https://open.spotify.com/artist/5pKCCKE2ajJHZ9KAiaK11H
René le Blanc,42,5470,['hollands'],3.1,44pNYV200BTCAtGuaA8bY8,https://open.spotify.com/artist/44pNYV200BTCAtGuaA8bY8
Rain Sounds,84,66251,[],6.0,5nSGBmlgUdqWNExnOX8VtV,https://open.spotify.com/artist/5nSGBmlgUdqWNExnOX8VtV
Robert van Hemert,59,20329,['hollands'],2.79,79TBgzOALTo3GOcKl1Rn8k,https://open.spotify.com/artist/79TBgzOALTo3GOcKl1Rn8k
REI AMI,92,248899,[],3.39,6U1dV7aL68N7Gb0Naq34V5,https://open.spotify.com/artist/6U1dV7aL68N7Gb0Naq34V5
Sabrina Carpenter,96,25628319,['pop'],3.08,74KM79TiuVKeVCqs8QtB0B,https://open.spotify.com/artist/74KM79TiuVKeVCqs8QtB0B
System Of A Down,85,13738685,"['nu metal', 'metal', 'alternative metal', 'rap metal', 'rock']",3.34,5eAWCfyUhZtHHtBdNk56l1,https://open.spotify.com/artist/5eAWCfyUhZtHHtBdNk56l1
Sef,55,31088,['nederpop'],3.34,5VGhS6nHpXPbXGhku9RRB0,https://open.spotify.com/artist/5VGhS6nHpXPbXGhku9RRB0
Slipknot,82,13893028,"['nu metal', 'metal', 'alternative metal', 'rap metal', 'heavy metal']",4.16,05fG473iIaoy82BF1aGhL8,https://open.spotify.com/artist/05fG473iIaoy82BF1aGhL8
